MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

initres =

    9.5671

Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
Elapsed time is 70.094850 seconds.
Elapsed time is 73.627739 seconds.
Elapsed time is 76.765444 seconds.
Elapsed time is 80.459143 seconds.
Elapsed time is 79.661852 seconds.
Elapsed time is 79.698774 seconds.
Elapsed time is 78.251851 seconds.
Elapsed time is 73.311040 seconds.
Elapsed time is 68.658748 seconds.
Elapsed time is 67.381166 seconds.
Elapsed time is 69.450653 seconds.
Elapsed time is 74.511037 seconds.
Elapsed time is 76.258351 seconds.
Elapsed time is 76.604825 seconds.
Elapsed time is 77.547972 seconds.
Elapsed time is 78.541482 seconds.
Elapsed time is 77.724204 seconds.
Elapsed time is 75.526389 seconds.
Elapsed time is 71.975948 seconds.
Elapsed time is 67.934850 seconds.
Elapsed time is 66.955755 seconds.
Elapsed time is 71.594757 seconds.
Elapsed time is 74.479402 seconds.
Elapsed time is 75.240614 seconds.
Elapsed time is 71.533912 seconds.
Elapsed time is 69.017612 seconds.
Elapsed time is 67.384746 seconds.
Elapsed time is 70.896918 seconds.
Elapsed time is 73.290540 seconds.
Elapsed time is 75.732030 seconds.
Elapsed time is 77.641940 seconds.
Elapsed time is 77.959194 seconds.
Elapsed time is 74.556481 seconds.
Elapsed time is 70.658978 seconds.
Elapsed time is 66.836229 seconds.
Elapsed time is 68.112173 seconds.
Elapsed time is 72.178941 seconds.
Elapsed time is 75.546708 seconds.
Elapsed time is 77.579679 seconds.
Elapsed time is 78.607059 seconds.
Elapsed time is 77.814163 seconds.
Elapsed time is 73.156200 seconds.
Elapsed time is 68.144181 seconds.
Elapsed time is 67.263132 seconds.
Elapsed time is 69.547373 seconds.
Elapsed time is 73.241842 seconds.
Elapsed time is 75.742972 seconds.
Elapsed time is 78.401812 seconds.
Elapsed time is 79.992122 seconds.
Elapsed time is 77.523291 seconds.
Elapsed time is 74.794641 seconds.
Elapsed time is 69.570345 seconds.
Elapsed time is 66.857665 seconds.
Elapsed time is 68.301409 seconds.
Elapsed time is 74.290949 seconds.
Elapsed time is 77.100674 seconds.
Elapsed time is 77.748522 seconds.
Elapsed time is 77.524929 seconds.
Elapsed time is 79.003711 seconds.
Elapsed time is 79.504166 seconds.
Elapsed time is 79.057106 seconds.
Elapsed time is 76.854795 seconds.
Elapsed time is 73.665494 seconds.
Elapsed time is 70.133621 seconds.
Elapsed time is 66.417688 seconds.
Elapsed time is 70.548238 seconds.
Elapsed time is 74.133034 seconds.
Elapsed time is 77.507194 seconds.
Elapsed time is 77.609871 seconds.
Elapsed time is 79.085833 seconds.
Elapsed time is 78.609882 seconds.
Elapsed time is 78.675875 seconds.
Elapsed time is 77.724704 seconds.
Elapsed time is 73.453776 seconds.
Elapsed time is 67.870259 seconds.
Elapsed time is 67.036197 seconds.
Elapsed time is 71.898912 seconds.
Elapsed time is 73.686688 seconds.
Elapsed time is 78.631604 seconds.
Elapsed time is 77.491907 seconds.
Elapsed time is 79.775724 seconds.
Elapsed time is 79.496293 seconds.
Elapsed time is 78.957957 seconds.
Elapsed time is 76.776904 seconds.
Elapsed time is 73.578377 seconds.
Elapsed time is 68.275321 seconds.
Elapsed time is 66.479637 seconds.
     1         250         3626.36        7.73e+06        0.001      0.0588996
Elapsed time is 68.988396 seconds.
Elapsed time is 72.747206 seconds.
Elapsed time is 75.107983 seconds.
Elapsed time is 76.066629 seconds.
Elapsed time is 78.716176 seconds.
Elapsed time is 79.486699 seconds.
Elapsed time is 78.203342 seconds.
Elapsed time is 74.144143 seconds.
Elapsed time is 69.426010 seconds.
Elapsed time is 67.454089 seconds.
Elapsed time is 69.664641 seconds.
Elapsed time is 73.531014 seconds.
Elapsed time is 74.833194 seconds.
Elapsed time is 77.203106 seconds.
Elapsed time is 77.372892 seconds.
Elapsed time is 78.507329 seconds.
Elapsed time is 76.965480 seconds.
Elapsed time is 73.270045 seconds.
Elapsed time is 68.741610 seconds.
Elapsed time is 67.178515 seconds.
Elapsed time is 70.406002 seconds.
Elapsed time is 75.773367 seconds.
Elapsed time is 76.600866 seconds.
Elapsed time is 77.864773 seconds.
Elapsed time is 78.442862 seconds.
Elapsed time is 78.887532 seconds.
Elapsed time is 79.437691 seconds.
Elapsed time is 76.348035 seconds.
Elapsed time is 71.740120 seconds.
Elapsed time is 67.122133 seconds.
Elapsed time is 67.768333 seconds.
Elapsed time is 72.509246 seconds.
Elapsed time is 74.220423 seconds.
Elapsed time is 78.036643 seconds.
Elapsed time is 78.813788 seconds.
Elapsed time is 79.550236 seconds.
Elapsed time is 79.217045 seconds.
Elapsed time is 75.373712 seconds.
Elapsed time is 71.608599 seconds.
Elapsed time is 67.036238 seconds.
Elapsed time is 68.458230 seconds.
Elapsed time is 71.820308 seconds.
Elapsed time is 73.890170 seconds.
Elapsed time is 78.026348 seconds.
Elapsed time is 77.742391 seconds.
Elapsed time is 76.236989 seconds.
Elapsed time is 73.183632 seconds.
Elapsed time is 70.228968 seconds.
Elapsed time is 67.017395 seconds.
Elapsed time is 69.100827 seconds.
Elapsed time is 71.955849 seconds.
Elapsed time is 75.602994 seconds.
Elapsed time is 77.066395 seconds.
Elapsed time is 77.342246 seconds.
Elapsed time is 77.153444 seconds.
Elapsed time is 75.028185 seconds.
Elapsed time is 70.367742 seconds.
Elapsed time is 66.549764 seconds.
Elapsed time is 68.300506 seconds.
Elapsed time is 71.873153 seconds.
Elapsed time is 75.120740 seconds.
Elapsed time is 75.734512 seconds.
Elapsed time is 78.005077 seconds.
Elapsed time is 78.070936 seconds.
Elapsed time is 75.646539 seconds.
