MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

initres =

   8.205185413112872

Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
Elapsed time is 38.904048 seconds.
Elapsed time is 42.923111 seconds.
Elapsed time is 43.743107 seconds.
Elapsed time is 44.929195 seconds.
Elapsed time is 44.332068 seconds.
Elapsed time is 39.061977 seconds.
Elapsed time is 38.213291 seconds.
Elapsed time is 39.277870 seconds.
Elapsed time is 39.439142 seconds.
Elapsed time is 36.129140 seconds.
Elapsed time is 36.541841 seconds.
Elapsed time is 35.141305 seconds.
Elapsed time is 36.064092 seconds.
Elapsed time is 36.600679 seconds.
Elapsed time is 40.607619 seconds.
Elapsed time is 41.732748 seconds.
Elapsed time is 40.595778 seconds.
Elapsed time is 38.830161 seconds.
Elapsed time is 39.751715 seconds.
Elapsed time is 42.707075 seconds.
Elapsed time is 37.587885 seconds.
Elapsed time is 36.156881 seconds.
Elapsed time is 37.248010 seconds.
Elapsed time is 38.791014 seconds.
Elapsed time is 36.652420 seconds.
Elapsed time is 36.543708 seconds.
Elapsed time is 37.476043 seconds.
Elapsed time is 35.533804 seconds.
Elapsed time is 35.498423 seconds.
Elapsed time is 33.196447 seconds.
Elapsed time is 38.029956 seconds.
Elapsed time is 40.205639 seconds.
Elapsed time is 42.064458 seconds.
Elapsed time is 42.324137 seconds.
Elapsed time is 45.526993 seconds.
Elapsed time is 44.737821 seconds.
Elapsed time is 42.322352 seconds.
Elapsed time is 44.320720 seconds.
Elapsed time is 41.843001 seconds.
Elapsed time is 39.254805 seconds.
Elapsed time is 41.690316 seconds.
Elapsed time is 44.073104 seconds.
Elapsed time is 43.214727 seconds.
Elapsed time is 41.036063 seconds.
Elapsed time is 38.690436 seconds.
Elapsed time is 33.967282 seconds.
Elapsed time is 33.164174 seconds.
Elapsed time is 37.528432 seconds.
Elapsed time is 47.159487 seconds.
Elapsed time is 42.370707 seconds.
Elapsed time is 44.592139 seconds.
Elapsed time is 38.841142 seconds.
Elapsed time is 39.934623 seconds.
Elapsed time is 47.119807 seconds.
Elapsed time is 45.870627 seconds.
Elapsed time is 45.699904 seconds.
Elapsed time is 45.372202 seconds.
Elapsed time is 41.313556 seconds.
Elapsed time is 42.942992 seconds.
Elapsed time is 42.116818 seconds.
Elapsed time is 41.800025 seconds.
Elapsed time is 41.608289 seconds.
Elapsed time is 44.299860 seconds.
Elapsed time is 43.831407 seconds.
Elapsed time is 46.264968 seconds.
Elapsed time is 46.286607 seconds.
Elapsed time is 46.218349 seconds.
Elapsed time is 45.281882 seconds.
Elapsed time is 45.170015 seconds.
Elapsed time is 46.233504 seconds.
Elapsed time is 47.097091 seconds.
Elapsed time is 45.936509 seconds.
Elapsed time is 46.390673 seconds.
Elapsed time is 47.260129 seconds.
Elapsed time is 45.093921 seconds.
Elapsed time is 47.975842 seconds.
Elapsed time is 48.070084 seconds.
Elapsed time is 44.607598 seconds.
Elapsed time is 42.246217 seconds.
Elapsed time is 40.368467 seconds.
Elapsed time is 41.656765 seconds.
Elapsed time is 44.012178 seconds.
Elapsed time is 43.631729 seconds.
Elapsed time is 41.742473 seconds.
Elapsed time is 45.528965 seconds.
Elapsed time is 41.143708 seconds.
Elapsed time is 41.468335 seconds.
     1         250         2970.66        9.25e+05        0.001      0.0202875
Elapsed time is 46.862834 seconds.
Elapsed time is 46.583796 seconds.
Elapsed time is 47.992579 seconds.
Elapsed time is 46.468477 seconds.
Elapsed time is 45.696930 seconds.
Elapsed time is 44.438576 seconds.
Elapsed time is 43.141736 seconds.
Elapsed time is 43.047720 seconds.
Elapsed time is 42.057508 seconds.
Elapsed time is 38.549920 seconds.
Elapsed time is 37.976686 seconds.
Elapsed time is 38.219369 seconds.
Elapsed time is 38.878633 seconds.
Elapsed time is 38.413216 seconds.
Elapsed time is 42.563842 seconds.
Elapsed time is 45.599048 seconds.
Elapsed time is 47.912293 seconds.
Elapsed time is 45.705078 seconds.
Elapsed time is 48.416693 seconds.
Elapsed time is 46.693952 seconds.
Elapsed time is 46.007457 seconds.
Elapsed time is 46.211648 seconds.
Elapsed time is 44.546252 seconds.
Elapsed time is 44.366001 seconds.
Elapsed time is 43.944269 seconds.
Elapsed time is 43.376248 seconds.
Elapsed time is 43.384735 seconds.
Elapsed time is 38.096682 seconds.
Elapsed time is 39.725046 seconds.
Elapsed time is 34.805263 seconds.
Elapsed time is 38.039004 seconds.
Elapsed time is 38.367607 seconds.
Elapsed time is 37.222769 seconds.
Elapsed time is 39.736256 seconds.
Elapsed time is 39.923280 seconds.
Elapsed time is 38.938864 seconds.
Elapsed time is 36.892657 seconds.
Elapsed time is 36.428215 seconds.
Elapsed time is 38.088773 seconds.
Elapsed time is 36.602254 seconds.
Elapsed time is 39.944485 seconds.
Elapsed time is 40.041040 seconds.
Elapsed time is 44.451582 seconds.
Elapsed time is 40.978975 seconds.
Elapsed time is 42.791250 seconds.
Elapsed time is 49.215636 seconds.
Elapsed time is 46.893496 seconds.
