MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

initres =

   10.3092

Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
Elapsed time is 57.933579 seconds.
Elapsed time is 57.541947 seconds.
Elapsed time is 57.616131 seconds.
Elapsed time is 57.689957 seconds.
Elapsed time is 57.395512 seconds.
Elapsed time is 57.437457 seconds.
Elapsed time is 57.290634 seconds.
Elapsed time is 57.527746 seconds.
Elapsed time is 57.554285 seconds.
Elapsed time is 57.492192 seconds.
Elapsed time is 57.292750 seconds.
Elapsed time is 57.368982 seconds.
Elapsed time is 57.401473 seconds.
Elapsed time is 57.398690 seconds.
Elapsed time is 57.387927 seconds.
Elapsed time is 57.494937 seconds.
Elapsed time is 57.287072 seconds.
Elapsed time is 57.293523 seconds.
Elapsed time is 57.801072 seconds.
Elapsed time is 57.276636 seconds.
Elapsed time is 57.347513 seconds.
Elapsed time is 57.261264 seconds.
Elapsed time is 57.265880 seconds.
Elapsed time is 57.170029 seconds.
Elapsed time is 57.309870 seconds.
Elapsed time is 57.266663 seconds.
Elapsed time is 57.462600 seconds.
Elapsed time is 57.932721 seconds.
Elapsed time is 57.594861 seconds.
Elapsed time is 57.222228 seconds.
Elapsed time is 57.237964 seconds.
Elapsed time is 57.421939 seconds.
Elapsed time is 57.331491 seconds.
Elapsed time is 57.321910 seconds.
Elapsed time is 57.352032 seconds.
Elapsed time is 57.671048 seconds.
Elapsed time is 57.560149 seconds.
Elapsed time is 57.440872 seconds.
Elapsed time is 57.859662 seconds.
Elapsed time is 57.258886 seconds.
Elapsed time is 57.350998 seconds.
Elapsed time is 57.506466 seconds.
Elapsed time is 57.577093 seconds.
Elapsed time is 57.506547 seconds.
Elapsed time is 57.390855 seconds.
Elapsed time is 57.393915 seconds.
Elapsed time is 57.664767 seconds.
Elapsed time is 57.839687 seconds.
Elapsed time is 57.645895 seconds.
Elapsed time is 58.224200 seconds.
Elapsed time is 57.496029 seconds.
Elapsed time is 57.272519 seconds.
Elapsed time is 57.454256 seconds.
Elapsed time is 57.521793 seconds.
Elapsed time is 57.445587 seconds.
Elapsed time is 57.470124 seconds.
Elapsed time is 57.369853 seconds.
Elapsed time is 57.345839 seconds.
Elapsed time is 57.206093 seconds.
Elapsed time is 57.315712 seconds.
Elapsed time is 57.288079 seconds.
Elapsed time is 57.281411 seconds.
Elapsed time is 57.347966 seconds.
Elapsed time is 57.333952 seconds.
Elapsed time is 57.199498 seconds.
Elapsed time is 57.360071 seconds.
Elapsed time is 57.454433 seconds.
Elapsed time is 57.983407 seconds.
Elapsed time is 57.266261 seconds.
Elapsed time is 57.449240 seconds.
Elapsed time is 57.829552 seconds.
