MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
Elapsed time is 157.884440 seconds.
Elapsed time is 168.698692 seconds.
Elapsed time is 156.719241 seconds.
Elapsed time is 154.396321 seconds.
Elapsed time is 145.950315 seconds.
Elapsed time is 150.608033 seconds.
Elapsed time is 155.306788 seconds.
Elapsed time is 151.373485 seconds.
Elapsed time is 165.162074 seconds.
Elapsed time is 167.098826 seconds.
Elapsed time is 152.404918 seconds.
Elapsed time is 169.234914 seconds.
Elapsed time is 167.429767 seconds.
Elapsed time is 156.533482 seconds.
Elapsed time is 145.489596 seconds.
Elapsed time is 164.360197 seconds.
Elapsed time is 171.137883 seconds.
Elapsed time is 162.879526 seconds.
Elapsed time is 144.787980 seconds.
Elapsed time is 140.673559 seconds.
Elapsed time is 167.468346 seconds.
Elapsed time is 151.282034 seconds.
Elapsed time is 141.557152 seconds.
Elapsed time is 139.368741 seconds.
Elapsed time is 142.639346 seconds.
Elapsed time is 134.672970 seconds.
Elapsed time is 147.605053 seconds.
Elapsed time is 163.939228 seconds.
Elapsed time is 146.641547 seconds.
Elapsed time is 148.447246 seconds.
Elapsed time is 155.378114 seconds.
Elapsed time is 143.243612 seconds.
Elapsed time is 161.805940 seconds.
Elapsed time is 153.865844 seconds.
Elapsed time is 161.349860 seconds.
Elapsed time is 151.370821 seconds.
Elapsed time is 139.832630 seconds.
Elapsed time is 169.792749 seconds.
Elapsed time is 160.648886 seconds.
Elapsed time is 166.267622 seconds.
Elapsed time is 154.317684 seconds.
Elapsed time is 165.349442 seconds.
Elapsed time is 159.140568 seconds.
Elapsed time is 150.849495 seconds.
Elapsed time is 145.915398 seconds.
Elapsed time is 150.346042 seconds.
Elapsed time is 150.761280 seconds.
Elapsed time is 141.935597 seconds.
Elapsed time is 145.883883 seconds.
Elapsed time is 160.155032 seconds.
Elapsed time is 133.175895 seconds.
Elapsed time is 150.675358 seconds.
Elapsed time is 164.834186 seconds.
Elapsed time is 140.165205 seconds.
Elapsed time is 135.559479 seconds.
Elapsed time is 148.664930 seconds.
Elapsed time is 145.332378 seconds.
Elapsed time is 149.586221 seconds.
Elapsed time is 170.627035 seconds.
Elapsed time is 166.741249 seconds.
Elapsed time is 160.338199 seconds.
Elapsed time is 150.418237 seconds.
Elapsed time is 163.357204 seconds.
Elapsed time is 149.595756 seconds.
Elapsed time is 137.903925 seconds.
Elapsed time is 145.809351 seconds.
Elapsed time is 148.384704 seconds.
Elapsed time is 140.995958 seconds.
Elapsed time is 160.551891 seconds.
Elapsed time is 161.091557 seconds.
Elapsed time is 172.134154 seconds.
Elapsed time is 171.261089 seconds.
Elapsed time is 161.923761 seconds.
Elapsed time is 163.085663 seconds.
Elapsed time is 157.022448 seconds.
Elapsed time is 166.758343 seconds.
Elapsed time is 168.753430 seconds.
Elapsed time is 163.817192 seconds.
Elapsed time is 171.270514 seconds.
Elapsed time is 164.286030 seconds.
Elapsed time is 160.453402 seconds.
Elapsed time is 163.228398 seconds.
Elapsed time is 158.596419 seconds.
Elapsed time is 152.524139 seconds.
Elapsed time is 146.750169 seconds.
Elapsed time is 145.163388 seconds.
     1         250         11986.2        3.43e+05        0.001      0.0331454
Elapsed time is 150.276463 seconds.
Elapsed time is 133.038397 seconds.
Elapsed time is 124.605394 seconds.
Elapsed time is 143.245189 seconds.
Elapsed time is 130.996396 seconds.
Elapsed time is 133.251672 seconds.
Elapsed time is 119.396831 seconds.
Elapsed time is 141.407828 seconds.
Elapsed time is 137.335729 seconds.
Elapsed time is 139.875901 seconds.
Elapsed time is 178.104250 seconds.
Elapsed time is 160.670309 seconds.
Elapsed time is 155.743871 seconds.
Elapsed time is 161.514341 seconds.
Elapsed time is 164.263790 seconds.
Elapsed time is 153.932653 seconds.
Elapsed time is 165.894994 seconds.
Elapsed time is 177.256653 seconds.
Elapsed time is 176.560241 seconds.
Elapsed time is 161.227640 seconds.
Elapsed time is 153.740616 seconds.
Elapsed time is 139.153349 seconds.
Elapsed time is 160.866592 seconds.
Elapsed time is 174.080380 seconds.
Elapsed time is 162.281847 seconds.
Elapsed time is 162.452401 seconds.
Elapsed time is 157.974593 seconds.
Elapsed time is 140.404331 seconds.
Elapsed time is 163.404432 seconds.
Elapsed time is 142.216551 seconds.
Elapsed time is 156.322826 seconds.
Elapsed time is 154.107445 seconds.
Elapsed time is 147.910368 seconds.
Elapsed time is 144.959669 seconds.
Elapsed time is 148.010399 seconds.
Elapsed time is 153.541183 seconds.
Elapsed time is 140.536984 seconds.
Elapsed time is 166.222983 seconds.
Elapsed time is 160.175895 seconds.
Elapsed time is 171.160307 seconds.
Elapsed time is 153.552562 seconds.
Elapsed time is 143.876118 seconds.
Elapsed time is 165.195154 seconds.
Elapsed time is 151.182321 seconds.
Elapsed time is 158.066066 seconds.
Elapsed time is 165.391385 seconds.
Elapsed time is 152.431714 seconds.
Elapsed time is 158.208992 seconds.
Elapsed time is 158.151620 seconds.
Elapsed time is 144.766401 seconds.
Elapsed time is 137.581591 seconds.
Elapsed time is 157.220137 seconds.
Elapsed time is 180.523714 seconds.
Elapsed time is 174.666977 seconds.
Elapsed time is 167.144324 seconds.
Elapsed time is 171.429511 seconds.
Elapsed time is 172.455652 seconds.
Elapsed time is 170.918440 seconds.
Elapsed time is 168.655346 seconds.
Elapsed time is 156.965383 seconds.
Elapsed time is 149.165695 seconds.
Elapsed time is 161.462976 seconds.
Elapsed time is 140.274980 seconds.
Elapsed time is 134.087352 seconds.
Elapsed time is 134.957691 seconds.
Elapsed time is 149.476811 seconds.
Elapsed time is 159.339615 seconds.
Elapsed time is 147.244934 seconds.
Elapsed time is 163.480509 seconds.
Elapsed time is 154.440808 seconds.
Elapsed time is 143.647402 seconds.
Elapsed time is 151.494404 seconds.
Elapsed time is 179.511800 seconds.
Elapsed time is 163.218665 seconds.
Elapsed time is 182.536506 seconds.
Elapsed time is 181.858606 seconds.
Elapsed time is 189.341163 seconds.
Elapsed time is 172.436975 seconds.
Elapsed time is 172.047752 seconds.
Elapsed time is 156.332227 seconds.
Elapsed time is 146.129486 seconds.
Elapsed time is 165.144619 seconds.
Elapsed time is 150.318322 seconds.
Elapsed time is 153.631654 seconds.
Elapsed time is 148.462188 seconds.
Elapsed time is 146.551131 seconds.
Elapsed time is 168.435105 seconds.
Elapsed time is 140.604075 seconds.
Elapsed time is 149.920425 seconds.
Elapsed time is 152.371519 seconds.
Elapsed time is 171.632832 seconds.
Elapsed time is 170.885371 seconds.
Elapsed time is 148.104615 seconds.
Elapsed time is 167.439801 seconds.
Elapsed time is 163.351845 seconds.
Elapsed time is 142.051686 seconds.
Elapsed time is 160.744499 seconds.
Elapsed time is 150.576707 seconds.
Elapsed time is 143.686257 seconds.
Elapsed time is 146.694643 seconds.
Elapsed time is 140.264957 seconds.
Elapsed time is 153.422378 seconds.
Elapsed time is 160.192408 seconds.
Elapsed time is 163.993833 seconds.
Elapsed time is 144.508866 seconds.
Elapsed time is 178.357333 seconds.
Elapsed time is 158.344330 seconds.
Elapsed time is 145.166318 seconds.
Elapsed time is 149.596187 seconds.
Elapsed time is 137.344805 seconds.
Elapsed time is 142.416657 seconds.
Elapsed time is 141.235737 seconds.
Elapsed time is 147.174819 seconds.
Elapsed time is 138.926312 seconds.
Elapsed time is 161.552585 seconds.
Elapsed time is 153.489824 seconds.
Elapsed time is 154.572738 seconds.
Elapsed time is 150.950187 seconds.
Elapsed time is 153.970923 seconds.
Elapsed time is 145.893868 seconds.
Elapsed time is 150.507910 seconds.
Elapsed time is 184.813705 seconds.
Elapsed time is 185.119770 seconds.
Elapsed time is 164.851237 seconds.
Elapsed time is 181.384233 seconds.
     2         375         11895.1        3.33e+05       0.0001      0.0113159
Elapsed time is 165.144995 seconds.
Elapsed time is 162.037213 seconds.
Elapsed time is 164.364461 seconds.
Elapsed time is 156.470469 seconds.
Elapsed time is 153.521650 seconds.
Elapsed time is 152.807425 seconds.
Elapsed time is 159.090506 seconds.
Elapsed time is 158.265785 seconds.
Elapsed time is 150.420579 seconds.
Elapsed time is 140.507371 seconds.
Elapsed time is 150.369055 seconds.
Elapsed time is 151.538904 seconds.

Local minimum possible.

lsqnonlin stopped because the relative size of the current step is less than
the default value of the step size tolerance.



map�����Ż������ڲ���Ϊ
   1.0e+03 *

   1.378404345163705                   0   0.950154792008513
                   0   1.362919763912552   0.538226651584846
                   0                   0   0.001000000000000

Parallel pool using the 'local' profile is shutting down.
  message with properties:

    Identifier: 'MATLAB:connector:connector:ConnectorNotRunning'
     Arguments: {}

