MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
Elapsed time is 149.332813 seconds.
Elapsed time is 147.956854 seconds.
Elapsed time is 191.117692 seconds.
Elapsed time is 175.493807 seconds.
Elapsed time is 159.701598 seconds.
Elapsed time is 165.793559 seconds.
Elapsed time is 163.514797 seconds.
Elapsed time is 141.778079 seconds.
Elapsed time is 170.066048 seconds.
Elapsed time is 175.168612 seconds.
Elapsed time is 152.799499 seconds.
Elapsed time is 170.852132 seconds.
Elapsed time is 159.032098 seconds.
Elapsed time is 157.784541 seconds.
Elapsed time is 152.580117 seconds.
Elapsed time is 160.144539 seconds.
Elapsed time is 174.850385 seconds.
Elapsed time is 168.717201 seconds.
Elapsed time is 147.106219 seconds.
Elapsed time is 149.474964 seconds.
Elapsed time is 166.645389 seconds.
Elapsed time is 179.127421 seconds.
Elapsed time is 179.140812 seconds.
Elapsed time is 176.685808 seconds.
Elapsed time is 174.747253 seconds.
Elapsed time is 167.348041 seconds.
Elapsed time is 181.634864 seconds.
Elapsed time is 170.467822 seconds.
Elapsed time is 167.134453 seconds.
Elapsed time is 173.906081 seconds.
Elapsed time is 158.574542 seconds.
Elapsed time is 150.877256 seconds.
Elapsed time is 148.464049 seconds.
Elapsed time is 155.467591 seconds.
Elapsed time is 157.431522 seconds.
Elapsed time is 152.336814 seconds.
Elapsed time is 145.373034 seconds.
Elapsed time is 167.868910 seconds.
Elapsed time is 144.533480 seconds.
Elapsed time is 150.400049 seconds.
Elapsed time is 155.278506 seconds.
Elapsed time is 154.087989 seconds.
Elapsed time is 165.658060 seconds.
Elapsed time is 170.150461 seconds.
Elapsed time is 169.866357 seconds.
Elapsed time is 176.927634 seconds.
Elapsed time is 156.196063 seconds.
Elapsed time is 151.887848 seconds.
Elapsed time is 172.876017 seconds.
Elapsed time is 177.557430 seconds.
Elapsed time is 156.601210 seconds.
Elapsed time is 170.154909 seconds.
Elapsed time is 176.107589 seconds.
Elapsed time is 166.387548 seconds.
Elapsed time is 166.043013 seconds.
Elapsed time is 166.389397 seconds.
Elapsed time is 160.475824 seconds.
Elapsed time is 147.496539 seconds.
Elapsed time is 147.536313 seconds.
Elapsed time is 162.119909 seconds.
Elapsed time is 142.642040 seconds.
Elapsed time is 167.344752 seconds.
Elapsed time is 173.033952 seconds.
Elapsed time is 165.531238 seconds.
Elapsed time is 159.620847 seconds.
Elapsed time is 176.286301 seconds.
Elapsed time is 154.240567 seconds.
Elapsed time is 149.424520 seconds.
Elapsed time is 154.598571 seconds.
Elapsed time is 139.603704 seconds.
Elapsed time is 135.371747 seconds.
Elapsed time is 151.978328 seconds.
Elapsed time is 157.973492 seconds.
Elapsed time is 154.137664 seconds.
Elapsed time is 147.129500 seconds.
Elapsed time is 136.710701 seconds.
Elapsed time is 155.380369 seconds.
Elapsed time is 141.117549 seconds.
Elapsed time is 139.717489 seconds.
Elapsed time is 146.456375 seconds.
Elapsed time is 161.899050 seconds.
Elapsed time is 155.795977 seconds.
Elapsed time is 153.525630 seconds.
Elapsed time is 163.339852 seconds.
Elapsed time is 145.819665 seconds.
Elapsed time is 160.612879 seconds.
     1         250         5569.49        7.77e+04        0.001      0.0181398
Elapsed time is 150.230812 seconds.
Elapsed time is 148.949549 seconds.
Elapsed time is 156.159360 seconds.
Elapsed time is 146.838763 seconds.
Elapsed time is 162.931432 seconds.
Elapsed time is 158.941665 seconds.
Elapsed time is 163.082952 seconds.
Elapsed time is 147.233863 seconds.
Elapsed time is 156.734016 seconds.
Elapsed time is 139.977275 seconds.
Elapsed time is 163.912243 seconds.
Elapsed time is 153.416753 seconds.
Elapsed time is 151.612434 seconds.
Elapsed time is 172.148114 seconds.
Elapsed time is 169.931144 seconds.
Elapsed time is 148.528384 seconds.
Elapsed time is 162.632379 seconds.
Elapsed time is 161.551675 seconds.
Elapsed time is 162.522140 seconds.
Elapsed time is 171.224689 seconds.
Elapsed time is 175.369062 seconds.
Elapsed time is 155.682993 seconds.
Elapsed time is 135.199436 seconds.
Elapsed time is 171.968677 seconds.
Elapsed time is 163.186774 seconds.
Elapsed time is 165.817214 seconds.
Elapsed time is 162.370496 seconds.
Elapsed time is 168.693757 seconds.
Elapsed time is 169.015511 seconds.
Elapsed time is 169.898186 seconds.
Elapsed time is 182.659292 seconds.
Elapsed time is 167.433327 seconds.
Elapsed time is 167.656698 seconds.
Elapsed time is 169.604760 seconds.
Elapsed time is 183.782229 seconds.
Elapsed time is 185.952579 seconds.
Elapsed time is 159.657868 seconds.
Elapsed time is 163.102136 seconds.
Elapsed time is 172.210310 seconds.
Elapsed time is 164.402921 seconds.
Elapsed time is 157.992172 seconds.
Elapsed time is 183.174509 seconds.
Elapsed time is 164.128107 seconds.
Elapsed time is 168.227130 seconds.
Elapsed time is 165.683985 seconds.
Elapsed time is 171.995424 seconds.
Elapsed time is 163.752122 seconds.
Elapsed time is 173.220724 seconds.
Elapsed time is 173.972321 seconds.
Elapsed time is 157.649569 seconds.
Elapsed time is 149.929598 seconds.
Elapsed time is 139.873203 seconds.
Elapsed time is 138.902076 seconds.
Elapsed time is 137.670529 seconds.
Elapsed time is 164.521487 seconds.
Elapsed time is 162.291382 seconds.
Elapsed time is 144.416834 seconds.
Elapsed time is 162.705314 seconds.
Elapsed time is 176.095342 seconds.
Elapsed time is 168.314149 seconds.
Elapsed time is 189.012874 seconds.
Elapsed time is 162.093033 seconds.
Elapsed time is 166.628757 seconds.
Elapsed time is 173.458429 seconds.
Elapsed time is 162.002480 seconds.
Elapsed time is 175.332702 seconds.
Elapsed time is 172.388778 seconds.
Elapsed time is 169.179020 seconds.
Elapsed time is 172.314365 seconds.
Elapsed time is 175.079923 seconds.
Elapsed time is 157.847177 seconds.
Elapsed time is 144.611522 seconds.
Elapsed time is 152.140947 seconds.
Elapsed time is 153.982658 seconds.
Elapsed time is 148.240609 seconds.
Elapsed time is 152.474852 seconds.
Elapsed time is 139.238277 seconds.
Elapsed time is 160.519685 seconds.
Elapsed time is 179.188376 seconds.
Elapsed time is 162.571687 seconds.
Elapsed time is 172.530699 seconds.
Elapsed time is 163.517958 seconds.
Elapsed time is 185.808701 seconds.
Elapsed time is 166.106176 seconds.
Elapsed time is 165.993175 seconds.
Elapsed time is 170.145461 seconds.
Elapsed time is 169.135756 seconds.
Elapsed time is 164.644889 seconds.
Elapsed time is 162.961286 seconds.
Elapsed time is 159.329719 seconds.
Elapsed time is 173.095260 seconds.
Elapsed time is 156.296661 seconds.
Elapsed time is 161.093587 seconds.
Elapsed time is 173.039811 seconds.
Elapsed time is 158.246959 seconds.
Elapsed time is 175.164154 seconds.
Elapsed time is 176.377261 seconds.
Elapsed time is 179.418375 seconds.
Elapsed time is 173.895589 seconds.
Elapsed time is 165.913922 seconds.
Elapsed time is 167.702494 seconds.
Elapsed time is 155.619895 seconds.
Elapsed time is 164.257044 seconds.
Elapsed time is 161.943072 seconds.
Elapsed time is 146.057091 seconds.
Elapsed time is 173.859870 seconds.
Elapsed time is 155.075091 seconds.
Elapsed time is 164.292123 seconds.
Elapsed time is 177.291931 seconds.
Elapsed time is 181.605920 seconds.
Elapsed time is 182.945196 seconds.
Elapsed time is 192.813948 seconds.
Elapsed time is 184.248111 seconds.
Elapsed time is 166.108957 seconds.
Elapsed time is 158.962005 seconds.
Elapsed time is 168.663412 seconds.
Elapsed time is 169.099349 seconds.
Elapsed time is 156.661626 seconds.
Elapsed time is 168.079669 seconds.
Elapsed time is 160.864755 seconds.
Elapsed time is 149.935334 seconds.
Elapsed time is 156.860618 seconds.
Elapsed time is 152.238476 seconds.
Elapsed time is 135.526376 seconds.
Elapsed time is 136.117189 seconds.
Elapsed time is 127.562687 seconds.
Elapsed time is 128.747850 seconds.
Elapsed time is 151.677649 seconds.
Elapsed time is 127.907415 seconds.
Elapsed time is 129.996508 seconds.
Elapsed time is 133.442995 seconds.
     2         381         5523.19        5.39e+05         1000      0.0114545
Elapsed time is 130.327352 seconds.
Elapsed time is 137.243369 seconds.
Elapsed time is 137.904659 seconds.
Elapsed time is 128.364699 seconds.
Elapsed time is 116.007412 seconds.

Local minimum possible.

lsqnonlin stopped because the relative size of the current step is less than
the default value of the step size tolerance.



map�����Ż������ڲ���Ϊ
   1.0e+03 *

   1.378210543114059                   0   0.950174172313543
                   0   1.362934582216843   0.538212774012894
                   0                   0   0.001000000000000

Parallel pool using the 'local' profile is shutting down.
  message with properties:

    Identifier: 'MATLAB:connector:connector:ConnectorNotRunning'
     Arguments: {}

