MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

initres =

   9.147593843781834

Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
Elapsed time is 36.012992 seconds.
Elapsed time is 34.372523 seconds.
Elapsed time is 35.241582 seconds.
Elapsed time is 36.736727 seconds.
Elapsed time is 33.799711 seconds.
Elapsed time is 37.104704 seconds.
Elapsed time is 37.942686 seconds.
Elapsed time is 35.710554 seconds.
Elapsed time is 36.679568 seconds.
Elapsed time is 35.458854 seconds.
Elapsed time is 37.172216 seconds.
Elapsed time is 38.321062 seconds.
Elapsed time is 37.010347 seconds.
Elapsed time is 35.462151 seconds.
Elapsed time is 39.851028 seconds.
Elapsed time is 37.399055 seconds.
Elapsed time is 37.385617 seconds.
Elapsed time is 40.427540 seconds.
Elapsed time is 39.505415 seconds.
Elapsed time is 38.947437 seconds.
Elapsed time is 38.432440 seconds.
Elapsed time is 35.125360 seconds.
Elapsed time is 39.787945 seconds.
Elapsed time is 40.212384 seconds.
Elapsed time is 39.647954 seconds.
Elapsed time is 38.150818 seconds.
Elapsed time is 40.699549 seconds.
Elapsed time is 37.764232 seconds.
Elapsed time is 37.802085 seconds.
Elapsed time is 39.222158 seconds.
Elapsed time is 37.546523 seconds.
Elapsed time is 36.828890 seconds.
Elapsed time is 38.162071 seconds.
Elapsed time is 35.691206 seconds.
Elapsed time is 39.846511 seconds.
Elapsed time is 37.298917 seconds.
Elapsed time is 38.690810 seconds.
Elapsed time is 37.767747 seconds.
Elapsed time is 40.002393 seconds.
Elapsed time is 33.703061 seconds.
Elapsed time is 35.141122 seconds.
Elapsed time is 35.764375 seconds.
Elapsed time is 36.130034 seconds.
Elapsed time is 34.921759 seconds.
Elapsed time is 36.641984 seconds.
Elapsed time is 37.094052 seconds.
Elapsed time is 37.541575 seconds.
Elapsed time is 39.003453 seconds.
Elapsed time is 37.053666 seconds.
Elapsed time is 38.116397 seconds.
Elapsed time is 32.915836 seconds.
Elapsed time is 32.849380 seconds.
Elapsed time is 35.185247 seconds.
Elapsed time is 35.051601 seconds.
Elapsed time is 31.452899 seconds.
Elapsed time is 34.470612 seconds.
Elapsed time is 37.092776 seconds.
Elapsed time is 35.952026 seconds.
Elapsed time is 36.097882 seconds.
Elapsed time is 35.705365 seconds.
Elapsed time is 38.123422 seconds.
Elapsed time is 35.848883 seconds.
Elapsed time is 35.452239 seconds.
Elapsed time is 38.128097 seconds.
Elapsed time is 35.917528 seconds.
Elapsed time is 37.566959 seconds.
Elapsed time is 36.810083 seconds.
Elapsed time is 35.490520 seconds.
Elapsed time is 35.233116 seconds.
Elapsed time is 35.228099 seconds.
Elapsed time is 34.231970 seconds.
Elapsed time is 31.721455 seconds.
Elapsed time is 35.764276 seconds.
Elapsed time is 34.017920 seconds.
Elapsed time is 33.611407 seconds.
Elapsed time is 34.132963 seconds.
Elapsed time is 32.551034 seconds.
Elapsed time is 35.154852 seconds.
Elapsed time is 31.907276 seconds.
Elapsed time is 31.936258 seconds.
Elapsed time is 34.553204 seconds.
Elapsed time is 32.939232 seconds.
Elapsed time is 35.622434 seconds.
Elapsed time is 34.416744 seconds.
Elapsed time is 32.739586 seconds.
Elapsed time is 33.642098 seconds.
Elapsed time is 33.997289 seconds.
     1         250         1846.29        7.58e+05        0.001       0.017714
Elapsed time is 31.816781 seconds.
Elapsed time is 33.399990 seconds.
Elapsed time is 35.105507 seconds.
Elapsed time is 37.852341 seconds.
Elapsed time is 32.030488 seconds.
Elapsed time is 35.781089 seconds.
Elapsed time is 33.640624 seconds.
Elapsed time is 30.341604 seconds.
Elapsed time is 31.465567 seconds.
Elapsed time is 30.411949 seconds.
Elapsed time is 32.227516 seconds.
